fname,kit,test,system,setpoint,job_time,job_time_readable,end_time,end_time_readable,handlername,DayOfWeek,month,week,quarter,year,IntID,ALID,AlarmText,LotParts,SubID,Source,Type,Class,Subclass,unknown1,Arg1,Arg2,RebootCount,ReinitCount,RetryCount,ClearCount,set_time,cleared_time,set_readable,cleared_readable,ElapsedTime,unknown2,unknown3,unknown4,Temperature,E10Mode,OpMode,StationMode,TesterMode,AirPLow,PartCount,CycleCount,unknown5,UserID,HandlerID,SiteID
T:/Lot_History\Lot_22_55_33_Apr-29-1651290933.log,11mm_297_X8_FCPBGA,11mm_297_X8_FCPBGA,SYS_320-500-149,-45,1651290933,4/29/2022 22:55,1651363134,4/30/2022 18:58,MTX04,5,4,17,2,2022,35,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value %s exceeds %s,0,SC1_Handler:MC,1,User,Assist,Other,,-15.2,-10,0,0,0,0,1651313101,1651313482,4/30/2022 5:05,4/30/2022 5:11,381,-1,0,0,-45,Alarm,Flushing,1,1,0,13443,13443,,NA,MTX-04,FSAUS
T:/Lot_History\Lot_03_58_42_Apr-29-1651222722.log,11mm_297_X8_FCPBGA,11mm_297_X8_FCPBGA,SYS_320-500-149,-45,1651222722,4/29/2022 3:58,1651229381,4/29/2022 5:49,MTX04,4,4,17,2,2022,29,10944,ALARM10944-Transfer PnP X-Pitch Axis unable to complete move. %s,254,SC1_Handler:PnP_Transfer,1,Machine,Assist,Other,,(target = 0.4108),,0,0,3,0,1651224329,1651225296,4/29/2022 4:25,4/29/2022 4:41,967,-1,0,0,-45,Alarm,Running,1,1,0,12511,12511,,5,MTX-04,FSAUS
T:/Lot_History\Lot_19_25_58_Apr-27-1651105558.log,11mm_297_X8_FCPBGA,11mm_297_X8_FCPBGA,SYS_320-500-149,150,1651105558,4/27/2022 19:25,1651108886,4/27/2022 20:21,MTX04,3,4,17,2,2022,28,10944,ALARM10944-Transfer PnP X-Pitch Axis unable to complete move. %s,254,SC1_Handler:PnP_Transfer,1,Machine,Assist,Other,,(target = 1.7937),,0,0,1,0,1651108570,1651108635,4/27/2022 20:16,4/27/2022 20:17,65,-1,0,0,150,Alarm,Running,1,5,0,11817,11817,,5,MTX-04,FSAUS
T:/Lot_History\Lot_21_22_20_Apr-25-1650939740.log,11mm_297_X8_FCPBGA,11mm_297_X8_FCPBGA,SYS_320-500-149,-45,1650939740,4/25/2022 21:22,1651031605,4/26/2022 22:53,MTX04,1,4,17,2,2022,27,10944,ALARM10944-Transfer PnP X-Pitch Axis unable to complete move. %s,254,SC1_Handler:PnP_Transfer,1,Machine,Assist,Other,,(target = 1.7937),,0,0,5,0,1650951482,1650955217,4/26/2022 0:38,4/26/2022 1:40,3735,-1,0,0,-45,Alarm,Flushing,1,1,0,11072,11072,,5,MTX-04,FSAUS
T:/Lot_History\Lot_20_00_22_Apr-25-1650934822.log,11mm_297_X8_FCPBGA,11mm_297_X8_FCPBGA,SYS_320-500-149,-45,1650934822,4/25/2022 20:00,1650939741,4/25/2022 21:22,MTX04,1,4,17,2,2022,24,10481,ALARM10481-Unable to Read Tray Sensor on Dock TPS,200,SC1_Handler:Tray_Xport,0,User,Assist,Other,,DOCK_TPS,,0,0,1,0,1650937278,1650937866,4/25/2022 20:41,4/25/2022 20:51,588,-1,0,0,-45,Alarm,Initializing,1,1,0,10732,10732,,5,MTX-04,FSAUS
T:/Lot_History\Lot_20_00_22_Apr-25-1650934822.log,11mm_297_X8_FCPBGA,11mm_297_X8_FCPBGA,SYS_320-500-149,-45,1650934822,4/25/2022 20:00,1650939741,4/25/2022 21:22,MTX04,1,4,17,2,2022,25,10944,ALARM10944-Transfer PnP X-Pitch Axis unable to complete move. %s,254,SC1_Handler:PnP_Transfer,1,Machine,Assist,Other,,(target = 1.7937),,0,0,1,0,1650939063,1650939131,4/25/2022 21:11,4/25/2022 21:12,68,-1,0,0,-45,Alarm,Running,1,5,0,10827,10827,,5,MTX-04,FSAUS
T:/Lot_History\Lot_20_00_22_Apr-25-1650934822.log,11mm_297_X8_FCPBGA,11mm_297_X8_FCPBGA,SYS_320-500-149,-45,1650934822,4/25/2022 20:00,1650939741,4/25/2022 21:22,MTX04,1,4,17,2,2022,26,10944,ALARM10944-Transfer PnP X-Pitch Axis unable to complete move. %s,254,SC1_Handler:PnP_Transfer,1,Machine,Assist,Other,,(target = 1.7937),,0,0,1,0,1650939316,1650939335,4/25/2022 21:15,4/25/2022 21:15,19,-1,0,0,-45,Alarm,Running,1,5,0,10889,10889,,5,MTX-04,FSAUS
T:/Lot_History\Lot_04_58_23_Apr-25-1650880703.log,11mm_297_X8_FCPBGA,11mm_297_X8_FCPBGA,SYS_320-500-149,25,1650880703,4/25/2022 4:58,1650934823,4/25/2022 20:00,MTX04,0,4,17,2,2022,16,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value %s exceeds %s,0,SC1_Handler:MC,1,User,Assist,Other,,-27.8,-25,0,0,1,0,1650884860,1650884903,4/25/2022 6:07,4/25/2022 6:08,43,-1,0,0,-45,Alarm,Running,1,1,0,10556,10556,,5,MTX-04,FSAUS
T:/Lot_History\Lot_04_58_23_Apr-25-1650880703.log,11mm_297_X8_FCPBGA,11mm_297_X8_FCPBGA,SYS_320-500-149,25,1650880703,4/25/2022 4:58,1650934823,4/25/2022 20:00,MTX04,0,4,17,2,2022,17,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value %s exceeds %s,0,SC1_Handler:MC,1,User,Assist,Other,,-27.3,-25,0,0,1,0,1650884918,1650884994,4/25/2022 6:08,4/25/2022 6:09,76,-1,0,0,-45,Alarm,Running,1,1,0,10556,10556,,5,MTX-04,FSAUS
T:/Lot_History\Lot_04_58_23_Apr-25-1650880703.log,11mm_297_X8_FCPBGA,11mm_297_X8_FCPBGA,SYS_320-500-149,25,1650880703,4/25/2022 4:58,1650934823,4/25/2022 20:00,MTX04,0,4,17,2,2022,18,10944,ALARM10944-Transfer PnP X-Pitch Axis unable to complete move. %s,254,SC1_Handler:PnP_Transfer,1,Machine,Assist,Other,,(target = 1.7937),,0,0,1,0,1650886459,1650886469,4/25/2022 6:34,4/25/2022 6:34,10,-1,0,0,-45,Alarm,Running,1,5,0,10573,10573,,5,MTX-04,FSAUS
T:/Lot_History\Lot_04_58_23_Apr-25-1650880703.log,11mm_297_X8_FCPBGA,11mm_297_X8_FCPBGA,SYS_320-500-149,25,1650880703,4/25/2022 4:58,1650934823,4/25/2022 20:00,MTX04,0,4,17,2,2022,19,10944,ALARM10944-Transfer PnP X-Pitch Axis unable to complete move. %s,254,SC1_Handler:PnP_Transfer,1,Machine,Assist,Other,,(target = 1.7937),,0,0,1,0,1650886531,1650886559,4/25/2022 6:35,4/25/2022 6:35,28,-1,0,0,-45,Alarm,Running,1,5,0,10596,10596,,5,MTX-04,FSAUS
T:/Lot_History\Lot_04_58_23_Apr-25-1650880703.log,11mm_297_X8_FCPBGA,11mm_297_X8_FCPBGA,SYS_320-500-149,25,1650880703,4/25/2022 4:58,1650934823,4/25/2022 20:00,MTX04,0,4,17,2,2022,20,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value %s exceeds %s,0,SC1_Handler:MC,1,User,Assist,Other,,-26.8,-25,0,0,1,0,1650886899,1650886930,4/25/2022 6:41,4/25/2022 6:42,31,-1,0,0,-45,Alarm,Running,1,5,0,10614,10614,,5,MTX-04,FSAUS
T:/Lot_History\Lot_04_58_23_Apr-25-1650880703.log,11mm_297_X8_FCPBGA,11mm_297_X8_FCPBGA,SYS_320-500-149,25,1650880703,4/25/2022 4:58,1650934823,4/25/2022 20:00,MTX04,0,4,17,2,2022,21,10944,ALARM10944-Transfer PnP X-Pitch Axis unable to complete move. %s,254,SC1_Handler:PnP_Transfer,1,Machine,Assist,Other,,(target = 1.7937),,0,0,1,0,1650886936,1650886964,4/25/2022 6:42,4/25/2022 6:42,28,-1,0,0,-45,Alarm,Running,1,5,0,10637,10637,,5,MTX-04,FSAUS
T:/Lot_History\Lot_04_58_23_Apr-25-1650880703.log,11mm_297_X8_FCPBGA,11mm_297_X8_FCPBGA,SYS_320-500-149,25,1650880703,4/25/2022 4:58,1650934823,4/25/2022 20:00,MTX04,0,4,17,2,2022,22,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value %s exceeds %s,0,SC1_Handler:MC,1,User,Assist,Other,,-31,-25,0,0,1,0,1650887124,1650887185,4/25/2022 6:45,4/25/2022 6:46,61,-1,0,0,-45,Alarm,Running,1,5,0,10673,10673,,5,MTX-04,FSAUS
T:/Lot_History\Lot_04_58_23_Apr-25-1650880703.log,11mm_297_X8_FCPBGA,11mm_297_X8_FCPBGA,SYS_320-500-149,25,1650880703,4/25/2022 4:58,1650934823,4/25/2022 20:00,MTX04,0,4,17,2,2022,23,10962,"ALARM10962-Transfer PnP parts not found on Z-Head(s) %s, after Z-Heads raise on a pick operation at %s.",200,SC1_Handler:PnP_Transfer,1,Machine,Assist,Other,,A4,Boat9,0,0,2,0,1650887132,1650887359,4/25/2022 6:45,4/25/2022 6:49,227,-1,0,0,-45,Alarm,Running,1,5,0,10673,10673,,5,MTX-04,FSAUS
T:/Lot_History\Lot_07_42_54_Apr-23-1650717774.log,11mm_297_X8_FCPBGA,11mm_297_X8_FCPBGA,SYS_320-500-149,150,1650717774,4/23/2022 7:42,1650813102,4/24/2022 10:11,MTX04,5,4,16,2,2022,15,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value %s exceeds %s,0,SC1_Handler:MC,1,User,Assist,Other,,-29.8,-25,0,0,1,0,1650721215,1650721283,4/23/2022 8:40,4/23/2022 8:41,68,-1,0,0,-45,Alarm,Running,1,1,0,9060,9060,,5,MTX-04,FSAUS
T:/Lot_History\Lot_03_44_04_Apr-23-1650703444.log,11mm_297_X8_FCPBGA,11mm_297_X8_FCPBGA,SYS_320-500-149,-45,1650703444,4/23/2022 3:44,1650717775,4/23/2022 7:42,MTX04,5,4,16,2,2022,13,10944,ALARM10944-Transfer PnP X-Pitch Axis unable to complete move. %s,254,SC1_Handler:PnP_Transfer,1,Machine,Assist,Other,,(target = 1.7937),,0,0,6,0,1650708502,1650713770,4/23/2022 5:08,4/23/2022 6:36,5268,-1,0,0,150,Alarm,Running,1,1,0,8985,8985,,5,MTX-04,FSAUS
T:/Lot_History\Lot_23_12_56_Apr-21-1650600776.log,{No,11mm_297_X8_FCPBGA,SYS_320-500-149,-45,1650600776,4/21/2022 23:12,1650609046,4/22/2022 1:30,MTX04,4,4,16,2,2022,12,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value %s exceeds %s,0,SC1_Handler:MC,1,User,Assist,Other,,-32.1,-25,0,0,0,0,1650605929,1650606526,4/22/2022 0:38,4/22/2022 0:48,597,-1,0,0,-45,Alarm,Running,1,1,0,8262,8262,,NA,MTX-04,FSAUS
T:/Lot_History\Lot_18_45_02_Apr-20-1650498302.log,{No,11mm_297_X8_FCPBGA,SYS_320-500-149,150,1650498302,4/20/2022 18:45,1650522329,4/21/2022 1:25,MTX04,3,4,16,2,2022,10,12161,ALARM12161-Right Test-Site PnP Chuck(s) %s failed to extend.,0,SC1_Handler:Ts_Head_Right,0,User,Assist,Other,,2,,0,0,1,0,1650501670,1650501872,4/20/2022 19:41,4/20/2022 19:44,202,-1,0,0,-45,Alarm,Running,1,1,0,6860,6860,,5,MTX-04,FSAUS
T:/Lot_History\Lot_18_45_02_Apr-20-1650498302.log,{No,11mm_297_X8_FCPBGA,SYS_320-500-149,150,1650498302,4/20/2022 18:45,1650522329,4/21/2022 1:25,MTX04,3,4,16,2,2022,11,10944,ALARM10944-Transfer PnP X-Pitch Axis unable to complete move. %s,254,SC1_Handler:PnP_Transfer,1,Machine,Assist,Other,,(target = 1.7937),,0,0,2,0,1650513041,1650514724,4/20/2022 22:50,4/20/2022 23:18,1683,-1,0,0,-45,Alarm,Running,1,1,0,7170,7170,,5,MTX-04,FSAUS
T:/Lot_History\Lot_00_18_20_Apr-17-1650172700.log,{No,11mm_297_X8_FCPBGA,SYS_320-500-149,25,1650172700,4/17/2022 0:18,1650320017,4/18/2022 17:13,MTX04,6,4,15,2,2022,8,12544,ALARM12544-Output PnP X-Pitch Axis unable to complete move. %s,50,SC1_Handler:PnP_Output,1,Machine,Assist,Other,,(target = -0.1034),,0,0,1,0,1650176535,1650179029,4/17/2022 1:22,4/17/2022 2:03,2494,-1,0,0,25,Alarm,Running,1,1,0,5872,5872,,5,MTX-04,FSAUS
T:/Lot_History\Lot_00_18_20_Apr-17-1650172700.log,{No,11mm_297_X8_FCPBGA,SYS_320-500-149,25,1650172700,4/17/2022 0:18,1650320017,4/18/2022 17:13,MTX04,0,4,16,2,2022,9,12161,ALARM12161-Right Test-Site PnP Chuck(s) %s failed to extend.,0,SC1_Handler:Ts_Head_Right,0,User,Assist,Other,,2,,0,0,1,0,1650307837,1650307845,4/18/2022 13:50,4/18/2022 13:50,8,-1,0,0,25,Alarm,Running,1,4,0,6761,6761,,5,MTX-04,FSAUS
T:/Lot_History\Lot_15_15_37_Apr-15-1650053737.log,{No,11mm_297_X8_FCPBGA,SYS_320-500-149,50,1650053737,4/15/2022 15:15,1650090153,4/16/2022 1:22,MTX04,5,4,15,2,2022,5,10969,ALARM10969-Transfer PnP clutch in wrong state for Z-Head(s) %s.,200,SC1_Handler:PnP_Transfer,1,Machine,Assist,Other,,B2,Boat2,0,0,1,0,1650088759,1650089039,4/16/2022 0:59,4/16/2022 1:03,280,-1,0,0,50,Alarm,Running,1,5,0,4133,4133,,5,MTX-04,FSAUS
