Export Time, Export Time Seconds, Last Cycle Count
2022-Mar-18-14:21:00,1647638460,3578

IntID,WARNID,Warn Text,Source,Type,Class,Subclass,Annotation,Reboot Count,Reinit Count,Retry Count,Clear Count,Set,Cleared,Elapsed,Response Time,Temperature,E10 Mode,OpMode,Station Mode,Tester Mode,Air P Low,Part Count,Cycle Count,User ID,Handler ID,Site ID
62,10062,WARNING10062-Output_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,06:22:29 23-Feb-2022,06:22:38 23-Feb-2022,00:00:09,7982,-45.0,Engineering,Running,1,1,0,0,2170,NA,MTX-06,FSAUS
63,10063,WARNING10063-Testsite_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,06:22:30 23-Feb-2022,06:22:39 23-Feb-2022,00:00:09,7981,-45.0,Engineering,Running,1,1,0,0,2170,NA,MTX-06,FSAUS
64,10061,WARNING10061-Input_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,06:22:30 23-Feb-2022,06:22:39 23-Feb-2022,00:00:09,7981,-45.0,Engineering,Running,1,1,0,0,2170,NA,MTX-06,FSAUS
65,10062,WARNING10062-Output_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,06:25:19 23-Feb-2022,06:25:36 23-Feb-2022,00:00:17,7812,-45.0,Unknown,Running,1,1,0,0,2170,NA,MTX-06,FSAUS
66,10063,WARNING10063-Testsite_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,06:25:19 23-Feb-2022,06:25:37 23-Feb-2022,00:00:18,7812,-45.0,Unknown,Running,1,1,0,0,2170,NA,MTX-06,FSAUS
67,10061,WARNING10061-Input_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,06:25:19 23-Feb-2022,06:25:37 23-Feb-2022,00:00:18,7812,-45.0,Unknown,Running,1,1,0,0,2170,NA,MTX-06,FSAUS
68,10062,WARNING10062-Output_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,07:27:49 23-Feb-2022,07:31:18 23-Feb-2022,00:03:29,4062,50.0,Unknown,Initializing,1,1,0,0,2170,NA,MTX-06,FSAUS
69,10063,WARNING10063-Testsite_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,07:27:49 23-Feb-2022,07:31:18 23-Feb-2022,00:03:29,4062,50.0,Unknown,Initializing,1,1,0,0,2170,NA,MTX-06,FSAUS
70,10061,WARNING10061-Input_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,07:27:50 23-Feb-2022,07:31:18 23-Feb-2022,00:03:28,4061,50.0,Unknown,Initializing,1,1,0,0,2170,NA,MTX-06,FSAUS
74,13704,WARNING13704-Please open door and Unload Stack 7.,SC1_Handler:Tray_Coord,0,0,Other,0,0,0,0,0,08:35:31 23-Feb-2022,,00:00:00,3334,50.0,Standby,Running,1,1,0,0,2170,NA,MTX-06,FSAUS
75,10062,WARNING10062-Output_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,09:31:04 23-Feb-2022,09:45:10 23-Feb-2022,00:14:06,8080,50.0,Standby,Running,1,1,0,0,2170,NA,MTX-06,FSAUS
76,10063,WARNING10063-Testsite_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,09:31:05 23-Feb-2022,09:45:10 23-Feb-2022,00:14:05,8079,50.0,Standby,Running,1,1,0,0,2170,NA,MTX-06,FSAUS
77,10061,WARNING10061-Input_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,09:31:05 23-Feb-2022,09:45:10 23-Feb-2022,00:14:05,8079,50.0,Standby,Running,1,1,0,0,2170,NA,MTX-06,FSAUS
78,10062,WARNING10062-Output_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,10:25:03 23-Feb-2022,10:25:17 23-Feb-2022,00:00:14,4841,-45.0,Unknown,Initializing,1,1,0,0,2170,NA,MTX-06,FSAUS
