Export Time, Export Time Seconds, Last Cycle Count
2022-Mar-18-14:17:52,1647631072,37844

IntID,WARNID,Warn Text,Source,Type,Class,Subclass,Annotation,Reboot Count,Reinit Count,Retry Count,Clear Count,Set,Cleared,Elapsed,Response Time,Temperature,E10 Mode,OpMode,Station Mode,Tester Mode,Air P Low,Part Count,Cycle Count,User ID,Handler ID,Site ID
37,6452,WARNING6452-Partial Input Tray Detected at Input TPS2; Please confirm and Clear; or Retry as required.,SC1_Handler:PnP_Input,0,Assist,Other,0,0,0,0,1,09:59:14 07-Jan-2022,10:05:53 07-Jan-2022,00:06:39,1244,25.0,Productive,Running,1,1,0,0,2181,5,MTX-A07,
38,12902,WARNING12902-A device is being tested. Do you want to stop? 
 Yes - Stop immediately; test will fail. 
 No - Do not stop.  
 Cancel - Stop after test,SC1_Handler:Ts_Coord,0,0,Other,0,0,0,0,0,10:19:58 07-Jan-2022,10:20:00 07-Jan-2022,00:00:02,860,25.0,Productive,Running,1,1,0,0,2186,NA,MTX-A07,
39,12902,WARNING12902-A device is being tested. Do you want to stop? 
 Yes - Stop immediately; test will fail. 
 No - Do not stop.  
 Cancel - Stop after test,SC1_Handler:Ts_Coord,0,0,Other,0,0,0,0,0,10:34:18 07-Jan-2022,10:48:27 07-Jan-2022,00:14:09,1824,25.0,Productive,Running,1,1,0,0,2191,NA,MTX-A07,
40,12902,WARNING12902-A device is being tested. Do you want to stop? 
 Yes - Stop immediately; test will fail. 
 No - Do not stop.  
 Cancel - Stop after test,SC1_Handler:Ts_Coord,0,0,Other,0,0,0,0,0,11:17:00 07-Jan-2022,11:26:28 07-Jan-2022,00:09:28,728,25.0,Productive,Running,1,1,0,0,2199,NA,MTX-A07,
41,12902,WARNING12902-A device is being tested. Do you want to stop? 
 Yes - Stop immediately; test will fail. 
 No - Do not stop.  
 Cancel - Stop after test,SC1_Handler:Ts_Coord,0,0,Other,0,0,0,0,0,11:29:08 07-Jan-2022,11:31:19 07-Jan-2022,00:02:11,125,25.0,Productive,Running,1,1,0,0,2199,NA,MTX-A07,
48,14104,WARNING14104-Boat Chamber will reach temperature more quickly; if the handler is started.,SC1_Handler:Boat_Xport,0,0,Other,0,0,0,0,0,13:23:16 07-Jan-2022,13:23:48 07-Jan-2022,00:00:32,3052,-45.0,Productive,Running,1,1,0,0,2422,NA,MTX-A07,
49,9001,WARNING9001-*Configuration Validation Rule Violation has occurred.,Machine:UI,0,0,Other,0,0,0,0,0,13:23:18 07-Jan-2022,13:23:23 07-Jan-2022,00:00:05,3050,-45.0,Productive,Running,1,1,0,0,2422,NA,MTX-A07,
50,4437,WARNING4437-Zone Left_Desoak_Shuttle is taking too long to reach setpoint.,SC1_Handler:TCS,0,0,Other,0,0,0,0,0,13:23:22 07-Jan-2022,13:23:48 07-Jan-2022,00:00:26,3046,-45.0,Productive,Running,1,1,0,0,2422,NA,MTX-A07,
51,4438,WARNING4438-Zone Right_Desoak_Shuttle is taking too long to reach setpoint.,SC1_Handler:TCS,0,0,Other,0,0,0,0,0,13:23:22 07-Jan-2022,13:23:48 07-Jan-2022,00:00:26,3046,-45.0,Productive,Running,1,1,0,0,2422,NA,MTX-A07,
52,6452,WARNING6452-Partial Input Tray Detected at Input TPS2; Please confirm and Clear; or Retry as required.,SC1_Handler:PnP_Input,0,Assist,Other,0,0,0,0,1,14:14:08 07-Jan-2022,14:14:37 07-Jan-2022,00:00:29,27,-45.0,Productive,Running,1,1,0,0,2422,5,MTX-A07,
53,12902,WARNING12902-A device is being tested. Do you want to stop? 
 Yes - Stop immediately; test will fail. 
 No - Do not stop.  
 Cancel - Stop after test,SC1_Handler:Ts_Coord,0,0,Other,0,0,0,0,0,14:42:05 07-Jan-2022,14:42:21 07-Jan-2022,00:00:16,3532,-45.0,Productive,Running,1,1,0,0,2578,NA,MTX-A07,
